H,n_conditions,rep_cosine_median,rep_fro_median,rep_trace_ratio_median,main_skill_mean,main_skill_median,main_cosine_mean,main_trace_error_mean,main_top_eig_error_mean,main_overlap_mean
1,432,0.9890570368738474,0.19142325561885626,0.9835527262844496,0.9091410692412297,0.9353578930949444,0.9775891360658683,0.13251021866086257,0.190598703987457,0.9663546587651817
5,432,0.9886688426587775,0.19217949788930666,0.9968886351483444,0.9241986210776496,0.9417811361183195,0.978596182599246,0.113332334838927,0.1621821024546941,0.9728667043184122
10,432,0.9893372732380754,0.19492045824928445,0.9960617967453331,0.9266836191417097,0.9435900207748703,0.9792003646378438,0.11425218080542887,0.16628671790501795,0.9775740625768613
